Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
clopudways,1,1,1300,79,28.21,https://www.cloudways.com/en/,1040,3.03,29338.00,0.49,0,"55, 0, 4, 100, 65, 82, 100, 65, 16, 44, 0, 0",2026-07-03,"Knowledge panel, Sitelinks, Reviews, Video, Ads top, Video Carousel, People also ask, Related searches, Ads middle","navigational, transactional",Organic
what is a landing page conversion,8,20,33100,51,0.00,https://www.cloudways.com/blog/high-converting-landing-pages/,728,2.12,0.00,0,20,"0, 0, 0, 0, 1, 0, 1, 0, 0, 81, 36, 100",2026-07-22,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
cloudway,1,1,590,67,8.12,https://www.cloudways.com/en/,472,1.37,3832.00,0.09,119,"20, 34, 44, 55, 30, 8, 5, 13, 5, 7, 2, 13",2026-07-17,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
rackspace email,7,7,49500,63,9.98,https://support.cloudways.com/en/articles/5133515-how-to-use-rackspace-email-add-on,396,1.15,3952.00,0.01,0,"81, 81, 81, 81, 81, 81, 66, 81, 81, 81, 81, 66",2026-07-20,"Sitelinks, Reviews, Video, Related searches",navigational,Organic
cloudwyas,1,1,320,71,28.21,https://www.cloudways.com/en/,256,0.74,7221.00,0.49,0,"2, 68, 11, 46, 0, 0, 0, 16, 0, 0, 84, 2",2026-07-17,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
cloudwasys,1,1,320,70,55.26,https://www.cloudways.com/en/,256,0.74,14146.00,0.46,0,"0, 0, 0, 0, 100, 41, 0, 0, 0, 0, 0, 0",2026-06-18,"Knowledge panel, Sitelinks, Reviews, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
clloudways,1,1,320,62,28.21,https://www.cloudways.com/en/,256,0.74,7221.00,0.49,0,"0, 0, 7, 0, 52, 46, 0, 0, 25, 0, 52, 0",2026-07-04,"Knowledge panel, Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches","navigational, transactional",Organic
cloudwats,1,1,320,58,28.21,https://www.cloudways.com/en/,256,0.74,7221.00,0.49,0,"1, 0, 0, 1, 0, 16, 55, 0, 0, 0, 100, 55",2026-07-08,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
managed cloud hosting,1,1,1600,54,13.72,https://www.cloudways.com/en/,211,0.61,2894.00,0.08,151,"55, 44, 65, 65, 55, 55, 55, 65, 34, 34, 55, 100",2026-07-12,"Reviews, Video, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle, AI overview",informational,Organic
cloduways,1,1,260,70,55.26,https://www.cloudways.com/en/,208,0.6,11494.00,0.46,148,"35, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0",2026-06-09,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches","navigational, transactional",Organic
